id,type,parent,children,job,state,value,cost,vc_ratio,created_ts,done_ts,dora_ref
REQ-OBSERVATORY,requirement,,CHK-1|CHK-2|CHK-3|CHK-4|CHK-5|CHK-6|CHK-7|CHK-8,Observe and steer the delivery-agent pipeline from a single local read-only surface,active,HIGH,XL,HIGH/XL,2026-06-09T00:10:00Z,,
CHK-1,chunk,REQ-OBSERVATORY,UC-S001-1|UC-S001-2|UC-S001-3|UC-S001-4|UC-S001-5|UC-S001-6,Parse all §4 sources to typed records and serve read-only with live file-watch refresh so every metric/queue/tree view renders from trustworthy current data,done,HIGH,M,HIGH/M,2026-06-09T00:10:00Z,2026-06-09T01:20:00Z,GATE-1-CHK-1
UC-S001-1,use-case,CHK-1,,Project registry: list work/* projects + read ACTIVE flag — GET /api/projects + /api/active,done,HIGH,2,1.50,2026-06-09T00:20:00Z,2026-06-09T01:20:00Z,
UC-S001-2,use-case,CHK-1,,CSV parsers: items.csv + 5 queue CSVs to typed records + resilience — GET /api/projects/:id/items + queues,done,HIGH,4,0.75,2026-06-09T00:20:00Z,2026-06-09T01:20:00Z,
UC-S001-3,use-case,CHK-1,,DORA/flow markdown+mmd pass-through endpoints — GET /api/dora/baseline + /api/projects/:id/dora/* + deps/*,done,HIGH,2,1.50,2026-06-09T00:20:00Z,2026-06-09T01:20:00Z,
UC-S001-4,use-case,CHK-1,,Slice-artifact raw pass-through — GET /api/projects/:id/slices/:slug/:artifact,done,MED,2,1.00,2026-06-09T00:20:00Z,2026-06-09T01:20:00Z,
UC-S001-5,use-case,CHK-1,,SSE file-watch live-refresh channel — GET /api/events; chokidar + 1s timing test,done,HIGH,4,0.75,2026-06-09T00:20:00Z,2026-06-09T01:20:00Z,
UC-S001-6,use-case,CHK-1,,Express server scaffold: bootstrap + CORS + read-only guard + start:check — depends UC1-UC5,done,HIGH,2,1.50,2026-06-09T00:20:00Z,2026-06-09T01:20:00Z,
CHK-2,chunk,REQ-OBSERVATORY,UC-S002-1|UC-S002-2|UC-S002-3|UC-S002-4|UC-S002-5|UC-S002-6|UC-S004-1|UC-S004-2|UC-S004-3|UC-S004-4|UC-S004-5|UC-S004-6|DEF-011|DEF-012|DEF-013|D7-AC-7,Render the pull system as a live value-stream map (full pipeline + stages + gates + rework + in-flight WIP + hover traceability) with live auto-refresh — done-condition MET per restated CHK-2,done,HIGH,M,HIGH/M,2026-06-09T00:10:00Z,2026-06-10T11:00:00Z,
UC-S002-1,use-case,CHK-2,,Vite SPA scaffold: src/app/ shell + vite.config.ts + API client module + Vitest jsdom config,done,MED,2,1.00,2026-06-09T01:21:00Z,2026-06-09T02:22:00Z,
